req_close_at,empty_slabs_found
5000,7
6000,7
7000,7
8000,7
9000,7
10000,7
11000,7
12000,7
13000,7
14000,7
15000,7
16000,7
17000,7
18000,7
19000,7
20000,7
21000,7
22000,7
23000,7
24000,7
25000,7
26000,7
27000,7
28000,7
29000,7
30000,7
31000,7
32000,7
33000,7
34000,7
35000,7
36000,7
37000,7
38000,7
39000,7
40000,7
41000,7
42000,7
43000,7
44000,7
45000,7
46000,7
47000,7
48000,7
49000,7
50000,7
51000,7
52000,7
53000,7
54000,7
55000,7
56000,7
57000,7
58000,7
59000,7
60000,7
61000,7
62000,7
63000,7
64000,7
65000,7
66000,7
67000,7
68000,7
69000,7
70000,7
71000,7
72000,7
73000,7
74000,7
75000,7
76000,7
77000,7
78000,7
79000,7
80000,7
81000,7
82000,7
83000,7
84000,7
85000,7
86000,7
87000,7
88000,7
89000,7
90000,7
91000,7
92000,7
93000,7
94000,7
95000,7
96000,7
97000,7
98000,7
99000,7
100000,7
101000,7
102000,7
103000,7
104000,7
105000,7
106000,7
107000,7
108000,7
109000,7
110000,7
111000,7
112000,7
113000,7
114000,7
115000,7
116000,7
117000,7
118000,7
119000,7
120000,7
121000,7
122000,7
123000,7
124000,7
125000,7
126000,7
127000,7
128000,7
129000,7
130000,7
131000,7
132000,7
133000,7
134000,7
135000,7
136000,7
137000,7
138000,7
139000,7
140000,7
141000,7
142000,7
143000,7
144000,7
145000,7
146000,7
147000,7
148000,7
149000,7
150000,7
151000,7
152000,7
153000,7
154000,7
155000,7
156000,7
157000,7
158000,7
159000,7
160000,7
161000,7
162000,7
163000,7
164000,7
165000,7
166000,7
167000,7
168000,7
169000,7
170000,7
171000,7
172000,7
173000,7
174000,7
175000,7
176000,7
177000,7
178000,7
179000,7
180000,7
181000,7
182000,7
183000,7
184000,7
185000,7
186000,7
187000,7
188000,7
189000,7
190000,7
191000,7
192000,7
193000,7
194000,7
195000,7
196000,7
197000,7
198000,7
199000,7
200000,7
