req,net_slabs
0,0
1000,2464
2000,4929
3000,7394
4000,9858
5000,12323
6000,14788
7000,17253
8000,19717
9000,22182
10000,24647
11000,27111
12000,29576
13000,32041
14000,34506
15000,36970
16000,39435
17000,41900
18000,44364
19000,46829
20000,49294
21000,51759
22000,54223
23000,56688
24000,59153
25000,61618
26000,64082
27000,66547
28000,69012
29000,71476
30000,73941
31000,76406
32000,78871
33000,81335
34000,83800
35000,86265
36000,88729
37000,91194
38000,93659
39000,96124
40000,98588
41000,101053
42000,103518
43000,105982
44000,108447
45000,110912
46000,113377
47000,115841
48000,118306
49000,120771
50000,123236
51000,125700
52000,128165
53000,130630
54000,133094
55000,135559
56000,138024
57000,140489
58000,142953
59000,145418
60000,147883
61000,150347
62000,152812
63000,155277
64000,157742
65000,160206
66000,162671
67000,165136
68000,167600
69000,170065
70000,172530
71000,174995
72000,177459
73000,179924
74000,182389
75000,184854
76000,187318
77000,189783
78000,192248
79000,194712
80000,197177
81000,199642
82000,202107
83000,204571
84000,207036
85000,209501
86000,211965
87000,214430
88000,216895
89000,219360
90000,221824
91000,224289
92000,226754
93000,229218
94000,231683
95000,234148
96000,236613
97000,239077
98000,241542
99000,244007
100000,246472
101000,248936
102000,251401
103000,253866
104000,256330
105000,258795
106000,261260
107000,263725
108000,266189
109000,268654
110000,271119
111000,273583
112000,276048
113000,278513
114000,280978
115000,283442
116000,285907
117000,288372
118000,290836
119000,293301
120000,295766
121000,298231
122000,300695
123000,303160
124000,305625
125000,308090
126000,310554
127000,313019
128000,315484
129000,317948
130000,320413
131000,322878
132000,325343
133000,327807
134000,330272
135000,332737
136000,335201
137000,337666
138000,340131
139000,342596
140000,345060
141000,347525
142000,349990
143000,352454
144000,354919
145000,357384
146000,359849
147000,362313
148000,364778
149000,367243
150000,369708
151000,372172
152000,374637
153000,377102
154000,379566
155000,382031
156000,384496
157000,386961
158000,389425
159000,391890
160000,394355
161000,396819
162000,399284
163000,401749
164000,404214
165000,406678
166000,409143
167000,411608
168000,414072
169000,416537
170000,419002
171000,421467
172000,423931
173000,426396
174000,428861
175000,431326
176000,433790
177000,436255
178000,438720
179000,441184
180000,443649
181000,446114
182000,448579
183000,451043
184000,453508
185000,455973
186000,458437
187000,460902
188000,463367
189000,465832
190000,468296
191000,470761
192000,473226
193000,475690
194000,478155
195000,480620
196000,483085
197000,485549
198000,488014
199000,490479
200000,492944
